date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:59	56780/56780	---M--	200	added ('OK')	text/html	etag:%22ddcc-5127938de7880%22	http://www.math.iitb.ac.in/~assoc/assets/fonts/fontawesome-webfont.woff2?v=4.3.0	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/fontawesome-webfonte0a5.html	(from http://www.math.iitb.ac.in/~assoc/assets/css/font-awesome.css)
11:14:01	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-5127938de7880%22	http://www.math.iitb.ac.in/~assoc/assets/fonts/fontawesome-webfont.eot?v=4.3.0	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/fontawesome-webfonte0a5.eot	(from http://www.math.iitb.ac.in/~assoc/assets/css/font-awesome.css)
11:14:08	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-5127938de7880%22	http://www.math.iitb.ac.in/~assoc/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/fontawesome-webfontd41d.eot	(from http://www.math.iitb.ac.in/~assoc/assets/css/font-awesome.css)
11:14:12	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%224c836-5127938de7880%22	http://www.math.iitb.ac.in/~assoc/assets/fonts/fontawesome-webfont.svg?v=4.3.0	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/fontawesome-webfonte0a5.svg	(from http://www.math.iitb.ac.in/~assoc/assets/css/font-awesome.css)
11:14:12	71508/71508	---M--	200	added ('OK')	application/font-woff	etag:%2211754-5127938de7880%22	http://www.math.iitb.ac.in/~assoc/assets/fonts/fontawesome-webfont.woff?v=4.3.0	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/fontawesome-webfonte0a5.woff	(from http://www.math.iitb.ac.in/~assoc/assets/css/font-awesome.css)
11:14:18	23523/23523	---M--	200	added ('OK')	image/jpeg	etag:%225be3-5135ef96bd300%22	http://www.math.iitb.ac.in/~assoc/assets/images/math.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/images/math.jpg	(from http://www.math.iitb.ac.in/~assoc/assets/css/main.css)
11:14:20	137590/137590	---M--	200	added ('OK')	text/css	etag:%2221976-51eed2e466100%22	http://www.math.iitb.ac.in/~assoc/mo/bootstrap/css/bootstrap.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/bootstrap/css/bootstrap.css	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:14:21	26651/26651	---M--	200	added ('OK')	text/css	etag:%22681b-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/fonts/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/fonts/font-awesome/css/font-awesome.css	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:14:22	3246/3246	---M--	200	added ('OK')	text/css	etag:%22cae-51eed2e466100%22	http://www.math.iitb.ac.in/~assoc/mo/css/animations.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/css/animations.css	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:14:23	16064/16064	---M--	200	added ('OK')	text/css	etag:%223ec0-5225303ec48c0%22	http://www.math.iitb.ac.in/~assoc/mo/css/style.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/css/style.css	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:14:23	222/222	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Jul%202018%2005:47:09%20GMT	http://www.math.iitb.ac.in/~assoc/mo/css/custom.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/css/custom.css	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:14:24	2941/2941	---M--	200	added ('OK')	text/css	etag:%22b7d-51eed2e466100%22	http://www.math.iitb.ac.in/~assoc/mo/css/new.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/css/new.css	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:14:25	128826/128826	---M--	200	added ('OK')	text/css	etag:%221f73a-51eed2e466100%22	http://www.math.iitb.ac.in/~assoc/mo/css/ihover.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/css/ihover.css	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:14:27	122092/122092	---M--	200	added ('OK')	application/font-sfnt	etag:%221dcec-5127938de7880%22	http://www.math.iitb.ac.in/~assoc/assets/fonts/fontawesome-webfont.ttf?v=4.3.0	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/fontawesome-webfonte0a5.ttf	(from http://www.math.iitb.ac.in/~assoc/assets/css/font-awesome.css)
11:14:27	5614/5614	---M--	200	added ('OK')	text/html	date:Sat,%2014%20Jul%202018%2005:47:13%20GMT	http://www.math.iitb.ac.in/~assoc/mo/registration2017/online/result_2017.php	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/registration2017/online/result_2017.html	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:14:38	121384/121384	---M--	200	added ('OK')	image/gif	etag:%221da28-5217424444b74%22	http://www.math.iitb.ac.in/~assoc/mo/images/logo1.gif	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/logo1.gif	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:14:53	156247/156247	---M--	200	added ('OK')	image/png	etag:%2226257-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/metatrons-cube-01.png	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/metatrons-cube-01.png	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:15:07	83718/83718	---M--	200	added ('OK')	image/jpeg	etag:%2214706-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/IMG_4098.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/IMG_4098.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:15:25	356822/356822	---M--	200	added ('OK')	application/pdf	etag:%22571d6-54719b3273940%22	http://www.math.iitb.ac.in/~assoc/mo/Results_2017.pdf	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/Results_2017.pdf	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:15:32	154770/154770	---M--	200	added ('OK')	image/jpeg	etag:%2225c92-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/IMG_4138.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/IMG_4138.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:15:40	92540/92540	---M--	200	added ('OK')	image/jpeg	etag:%221697c-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/IMG_4149.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/IMG_4149.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:15:49	97976/97976	---M--	200	added ('OK')	image/jpeg	etag:%2217eb8-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/IMG_4182.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/IMG_4182.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:15:59	117472/117472	---M--	200	added ('OK')	image/jpeg	etag:%221cae0-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/IMG_4196.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/IMG_4196.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:16:08	116541/116541	---M--	200	added ('OK')	image/jpeg	etag:%221c73d-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/IMG_4260.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/IMG_4260.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:16:13	80774/80774	---M--	200	added ('OK')	image/jpeg	etag:%2213b86-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/IMG_4497.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/IMG_4497.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:16:13	1492/1492	---M--	200	added ('OK')	image/png	etag:%225d4-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/testimonial-1.png	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/testimonial-1.png	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:16:14	1724/1724	---M--	200	added ('OK')	image/png	etag:%226bc-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/testimonial-2.png	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/testimonial-2.png	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:16:15	1450/1450	---M--	200	added ('OK')	image/png	etag:%225aa-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/testimonial-3.png	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/testimonial-3.png	(from http://www.math.iitb.ac.in/~assoc/mo/)
